,iter,elbo,num_samples,-elbo
0,10,-678.299701,2000,678.299701
1,20,-676.468831,4000,676.468831
2,30,-675.382513,6000,675.382513
3,40,-672.926671,8000,672.926671
4,50,-671.599516,10000,671.599516
5,60,-669.807781,12000,669.807781
6,70,-668.655537,14000,668.655537
7,80,-667.227966,16000,667.227966
8,90,-665.551239,18000,665.551239
9,100,-663.815793,20000,663.815793
10,110,-662.236987,22000,662.236987
11,120,-661.288972,24000,661.288972
12,130,-659.593858,26000,659.593858
13,140,-658.452378,28000,658.452378
14,150,-656.320589,30000,656.320589
15,160,-654.601877,32000,654.601877
16,170,-652.880057,34000,652.880057
17,180,-650.610915,36000,650.610915
18,190,-649.001074,38000,649.001074
19,200,-648.189059,40000,648.189059
20,210,-646.289084,42000,646.289084
21,220,-644.362852,44000,644.362852
22,230,-643.457304,46000,643.457304
23,240,-641.484723,48000,641.484723
24,250,-640.42673,50000,640.42673
25,300,-632.26985,60000,632.26985
26,400,-616.065376,80000,616.065376
27,500,-598.736006,100000,598.736006
28,600,-582.003039,120000,582.003039
29,700,-563.858681,140000,563.858681
30,800,-542.783031,160000,542.783031
31,900,-519.655943,180000,519.655943
32,1000,-493.279967,200000,493.279967
33,1100,-471.481535,220000,471.481535
34,1200,-450.784423,240000,450.784423
35,1300,-429.252318,260000,429.252318
36,1400,-407.542256,280000,407.542256
37,1500,-386.966557,300000,386.966557
38,1600,-365.902619,320000,365.902619
39,1700,-345.382264,340000,345.382264
40,1800,-324.266443,360000,324.266443
41,1900,-303.146472,380000,303.146472
42,2000,-283.670442,400000,283.670442
43,2100,-264.715656,420000,264.715656
44,2200,-247.40317,440000,247.40317
45,2300,-231.570471,460000,231.570471
46,2400,-215.907603,480000,215.907603
47,2500,-201.20277,500000,201.20277
48,2600,-187.645828,520000,187.645828
49,2700,-175.751009,540000,175.751009
50,2800,-164.608892,560000,164.608892
51,2900,-154.150395,580000,154.150395
52,3000,-144.060269,600000,144.060269
53,3100,-135.721986,620000,135.721986
54,3200,-127.345559,640000,127.345559
55,3300,-120.070419,660000,120.070419
56,3400,-112.371671,680000,112.371671
57,3500,-106.54189,700000,106.54189
58,3600,-100.736977,720000,100.736977
59,3700,-95.182348,740000,95.182348
60,3800,-89.942388,760000,89.942388
61,3900,-85.428949,780000,85.428949
62,4000,-81.255053,800000,81.255053
63,4100,-77.383415,820000,77.383415
64,4200,-73.460695,840000,73.460695
65,4300,-70.155583,860000,70.155583
66,4400,-67.072258,880000,67.072258
67,4500,-64.325999,900000,64.325999
68,4600,-61.275294,920000,61.275294
69,4700,-58.799674,940000,58.799674
70,4800,-56.650112,960000,56.650112
71,4900,-54.58445,980000,54.58445
72,5000,-52.451693,1000000,52.451693
73,5100,-50.676371,1020000,50.676371
74,5200,-48.918202,1040000,48.918202
75,5300,-47.436016,1060000,47.436016
76,5400,-45.957812,1080000,45.957812
77,5500,-44.636654,1100000,44.636654
78,5600,-43.188893,1120000,43.188893
79,5700,-42.188351,1140000,42.188351
80,5800,-40.951859,1160000,40.951859
81,5900,-39.655007,1180000,39.655007
82,6000,-38.888173,1200000,38.888173
83,6100,-38.09156,1220000,38.09156
84,6200,-37.248221,1240000,37.248221
85,6300,-36.434096,1260000,36.434096
86,6400,-35.642721,1280000,35.642721
87,6500,-34.941987,1300000,34.941987
88,6600,-34.38508,1320000,34.38508
89,6700,-33.569044,1340000,33.569044
90,6800,-32.941056,1360000,32.941056
91,6900,-32.564609,1380000,32.564609
92,7000,-32.060771,1400000,32.060771
93,7100,-31.472858,1420000,31.472858
94,7200,-30.98402,1440000,30.98402
95,7300,-30.489366,1460000,30.489366
96,7400,-30.16904,1480000,30.16904
97,7500,-29.783406,1500000,29.783406
98,7600,-29.202429,1520000,29.202429
99,7700,-28.990426,1540000,28.990426
100,7800,-28.589137,1560000,28.589137
101,7900,-28.307701,1580000,28.307701
102,8000,-28.034696,1600000,28.034696
